2020-01-01,Wednesday,New Year's Day,Restricted Holiday
2020-01-02,Thursday,Guru Govind Singh Jayanti,Restricted Holiday
2020-01-14,Tuesday,Lohri,Restricted Holiday
2020-01-15,Wednesday,Pongal,Restricted Holiday
2020-01-15,Wednesday,Makar Sankranti,Restricted Holiday
2020-01-25,Saturday,Chinese New Year,Observance
2020-01-26,Sunday,Republic Day,Gazetted Holiday
2020-01-30,Thursday,Vasant Panchami,Restricted Holiday
,,,
2020-02-14,Friday,Valentine's Day,Observance
2020-02-18,Tuesday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2020-02-19,Wednesday,Shivaji Jayanti,Restricted Holiday
2020-02-21,Friday,Maha Shivaratri/Shivaratri,Gazetted Holiday
,,,
2020-03-09,Monday,Holika Dahana,Restricted Holiday
2020-03-09,Monday,Hazarat Ali's Birthday,Restricted Holiday
2020-03-10,Tuesday,Holi,Gazetted Holiday
2020-03-20,Friday,March Equinox,Season
2020-03-25,Wednesday,Ugadi,Restricted Holiday
,,,
2020-04-02,Thursday,Rama Navami,Gazetted Holiday
2020-04-06,Monday,Mahavir Jayanti,Gazetted Holiday
2020-04-09,Thursday,First day of Passover,Observance
2020-04-09,Thursday,Maundy Thursday,"Observance, Christian"
2020-04-10,Friday,Good Friday,Gazetted Holiday
2020-04-12,Sunday,Easter Day,Restricted Holiday
2020-04-13,Monday,Vaisakhi,Restricted Holiday
2020-04-14,Tuesday,Mesadi / Vaisakhadi,Restricted Holiday
2020-04-14,Tuesday,Ambedkar Jayanti,Central Government Holiday
,,,
2020-05-01,Friday,May Day,Observance
2020-05-07,Thursday,Buddha Purnima/Vesak,Gazetted Holiday
2020-05-07,Thursday,Birthday of Ravindranath,Restricted Holiday
2020-05-10,Sunday,Mother's Day,Observance
2020-05-22,Friday,Jamat Ul-Vida,Restricted Holiday
2020-05-25,Monday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
2020-05-25,Monday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
,,,
2020-06-21,Sunday,Father's Day,Observance
2020-06-21,Sunday,June Solstice,Season
2020-06-23,Tuesday,Rath Yatra,Restricted Holiday
,,,
2020-07-05,Sunday,Guru Purnima,Observance
,,,
2020-08-01,Saturday,Bakr Id/Eid ul-Adha,Gazetted Holiday
2020-08-02,Sunday,Friendship Day,Observance
2020-08-03,Monday,Raksha Bandhan (Rakhi),Restricted Holiday
2020-08-11,Tuesday,Janmashtami (Smarta),Restricted Holiday
2020-08-12,Wednesday,Janmashtami,Gazetted Holiday
2020-08-15,Saturday,Independence Day,Gazetted Holiday
2020-08-16,Sunday,Parsi New Year,Restricted Holiday
2020-08-22,Saturday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2020-08-30,Sunday,Muharram/Ashura,Gazetted Holiday
2020-08-31,Monday,Onam,Restricted Holiday
,,,
2020-09-22,Tuesday,September Equinox,Season
,,,
2020-10-02,Friday,Mahatma Gandhi Jayanti,Gazetted Holiday
2020-10-22,Thursday,Maha Saptami,Restricted Holiday
2020-10-23,Friday,Maha Ashtami,Restricted Holiday
2020-10-24,Saturday,Maha Navami,Restricted Holiday
2020-10-25,Sunday,Dussehra,Gazetted Holiday
2020-10-30,Friday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2020-10-31,Saturday,Halloween,Observance
2020-10-31,Saturday,Maharishi Valmiki Jayanti,Restricted Holiday
,,,
2020-11-04,Wednesday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2020-11-14,Saturday,Naraka Chaturdasi,Restricted Holiday
2020-11-14,Saturday,Diwali/Deepavali,Gazetted Holiday
2020-11-15,Sunday,Govardhan Puja,Restricted Holiday
2020-11-16,Monday,Bhai Duj,Restricted Holiday
2020-11-20,Friday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2020-11-24,Tuesday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2020-11-30,Monday,Guru Nanak Jayanti,Gazetted Holiday
,,,
2020-12-11,Friday,First Day of Hanukkah,Observance
2020-12-18,Friday,Last day of Hanukkah,Observance
2020-12-21,Monday,December Solstice,Season
2020-12-24,Thursday,Christmas Eve,Restricted Holiday
2020-12-25,Friday,Christmas,Gazetted Holiday
2020-12-31,Thursday,New Year's Eve,Observance
